"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @antoniodelotero: how donald trump handles protesters verses how barack obama handles protesters https://t.co/3aH42L7N02",FALSE,0,NA,2016-11-07 07:51:03,FALSE,NA,"795534011430907904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","oopshijen",1749,TRUE,FALSE,NA,NA,"Los Angeles, CA","en-gb","http://pbs.twimg.com/profile_images/792789917415845888/285KLxzM_normal.jpg"
"2","RT @mcnees: Reminder that Trump creeped out his ex-wife by keeping a book of Hitler's speeches by his bed. https://t.co/9kVJCKqWr5",FALSE,0,NA,2016-11-07 07:51:03,FALSE,NA,"795534010806059013",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","invaderxyz",362,TRUE,FALSE,NA,NA,"Texas, USA","en-GB","http://pbs.twimg.com/profile_images/791853516591468545/WrlJDI1U_normal.jpg"
"3","RT @BernieSanders: Donald Trump is proud of his assaults on women and makes fun of people with disabilities. That is not someone who should‚Ä¶",FALSE,0,NA,2016-11-07 07:51:02,FALSE,NA,"795534009212268545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","naydimplesssss",16156,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/765384756515176448/vowiQhrk_normal.jpg"
"4","Lebanese Christian: ‚ÄúDonald Trump is good for Middle Eastern Christians‚Äù https://t.co/DB2CJMWvFU",FALSE,0,NA,2016-11-07 07:51:02,FALSE,NA,"795534007584686080",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tisaiyan",0,FALSE,FALSE,NA,NA,"Chennai","en","http://pbs.twimg.com/profile_images/648195333105647616/QBpdH4yT_normal.jpg"
"5","RT @BernieSanders: Not only do we have to defeat Donald Trump, I say @BaztaArpaio!",FALSE,0,NA,2016-11-07 07:51:02,FALSE,NA,"795534006930403329",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ahandsomebaby",928,TRUE,FALSE,NA,NA,"phx","en","http://pbs.twimg.com/profile_images/791264571465998336/1ygS_1HI_normal.jpg"
"6","I used to like @SpaRitual #nailpolish. This is from 2011, but now that I know they had this association...nope. Ì†ΩÌ∏ë https://t.co/KXmRoswupM",FALSE,0,NA,2016-11-07 07:51:02,FALSE,NA,"795534006582394880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BordenPears33",0,FALSE,FALSE,NA,NA,"Philadelphia, PA","en","http://pbs.twimg.com/profile_images/791776312595771394/PrWDC-9J_normal.jpg"
"7","RT @Channel4News: Donald Trump claims President Obama‚Äã ""screamed"" at a protester but footage of the incident reveals a different version of‚Ä¶",FALSE,0,NA,2016-11-07 07:51:02,FALSE,NA,"795534006221733888",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nigeishere",401,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/678650824151703552/aLSDQBnG_normal.jpg"
"8","RT @1001ptsAU: Donald Trump: The 'antithesis' of Barack Obama who split the GOP (https://t.co/9XGnqaKwtB) https://t.co/28TcjALzOj https://t‚Ä¶",FALSE,0,NA,2016-11-07 07:51:01,FALSE,NA,"795534005873479680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VeritasEver",1,TRUE,FALSE,NA,NA," Australia","en","http://pbs.twimg.com/profile_images/746505818879647744/2w39yMbV_normal.jpg"
"9","Donald Trump's campaign on Clinton team: 'They're chasing us around the blue states' https://t.co/LRkx6QjzCF",FALSE,0,NA,2016-11-07 07:51:01,FALSE,NA,"795534005391265793",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","onlineplatforms",0,FALSE,FALSE,NA,NA,"Mauritius and Gibraltar","en","http://pbs.twimg.com/profile_images/389144706/Bertrand_Boulle_july_2009_normal_normal.jpg"
"10","@Welderguyw What research? On Trump? You need more time to gather that about that IDIOT. Donald KKK Trump is NOT just a RACIST, an IDIOT too",FALSE,0,"Welderguyw",2016-11-07 07:51:01,FALSE,"795533116307816449","795534004413984768","23210889","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","Peace2times",0,FALSE,FALSE,NA,NA,"JOHANNESBURG, SA","en","http://pbs.twimg.com/profile_images/1572664253/Wandile_20Yani_normal.jpg"
"11","LRT: That article is a fascinating read - gives insight into the desperate attempts of Trump's aides to manage him https://t.co/ZkEwGY7nGI",FALSE,0,NA,2016-11-07 07:51:01,FALSE,NA,"795534003231137792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","robinlvalentine",0,FALSE,FALSE,NA,NA,"UK","en","http://pbs.twimg.com/profile_images/727824985826463744/tKFFyZfP_normal.jpg"
"12","Donald Trump's campaign on Clinton team: 'They're chasing us around the blue states' https://t.co/iCNJZmrsRl",FALSE,0,NA,2016-11-07 07:51:00,FALSE,NA,"795534001427640320",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","OffshoreTrader1",0,FALSE,FALSE,NA,NA,"","en-gb","http://pbs.twimg.com/profile_images/444763350258286593/W_bb3iGW_normal.jpeg"
"13","RT @TelegraphNews: Donald Trump says it's now up to the American people to 'deliver justice' to Hillary Clinton after she is cleared‚Ä¶ https‚Ä¶",FALSE,0,NA,2016-11-07 07:51:00,FALSE,NA,"795533999808663552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sandersn85",9,TRUE,FALSE,NA,NA,"Bridgwater, Somerset ","en","http://pbs.twimg.com/profile_images/794881942160220160/E4UMUd27_normal.jpg"
"14","RT @PranayGupte: #Election2016: Donald Trump and the Death of American Exceptionalism https://t.co/EH1wUuxfO0 via @jelani9",FALSE,0,NA,2016-11-07 07:51:00,FALSE,NA,"795533998885928960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","senaytweets",4,TRUE,FALSE,NA,NA,"Austin - Rotterdam - Istanbul","en","http://pbs.twimg.com/profile_images/748601234555285504/SKw4zqIz_normal.jpg"
"15","RT @glcarlstrom: The US mukhabarat chief will allow unpopular liberal candidate to run against the security forces-backed strongman. https:‚Ä¶",FALSE,0,NA,2016-11-07 07:51:00,FALSE,NA,"795533998181281792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","safwat58",76,TRUE,FALSE,NA,NA,"London","en","http://pbs.twimg.com/profile_images/749190999868571649/NQhjYsEq_normal.jpg"
"16","RT @NME: Watch @GreenDay dedicate 'American Idiot' to Donald Trump at MTV EMAs https://t.co/eoABZhWlZz https://t.co/PrMLM07RdH",FALSE,0,NA,2016-11-07 07:50:59,FALSE,NA,"795533997287743488",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","f_irwanto",20,TRUE,FALSE,NA,NA,"Easy Going","en","http://pbs.twimg.com/profile_images/667311839307427841/mLQD6CQY_normal.jpg"
"17","RT @wikileaks: DNC prepared questions for the Wolf Blitzers' CNN interview of Donald Trump https://t.co/iIxWBly6LB https://t.co/6fMJZiBrbY",FALSE,0,NA,2016-11-07 07:50:59,FALSE,NA,"795533994364465153",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HorizonNewsTV",5972,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/550219914452402176/qOFET7Fq_normal.jpeg"
"18","Even the Pope is Coming at Donald Trump Now | GQ https://t.co/1iq6rBZ4JA #votehillary",FALSE,0,NA,2016-11-07 07:50:59,FALSE,NA,"795533993735131136",NA,"<a href=""https://www.smartnews.com/"" rel=""nofollow"">SmartNews | „Çπ„Éû„Éº„Éà„Éã„É•„Éº„Çπ</a>","lady_bella",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/610557999455838208/v6p1SJ_o_normal.jpg"
"19","RT @ddale8: NEW RECORD: Donald Trump said FORTY (40) false things yesterday. #TrumpCheck https://t.co/WuWcttkfpx",FALSE,0,NA,2016-11-07 07:50:59,FALSE,NA,"795533993596911616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RohitV05",9085,TRUE,FALSE,NA,NA,"Leicester, UK","en","http://pbs.twimg.com/profile_images/767580518472757248/6-g7BkRf_normal.jpg"
"20","Donald Trump‚Äôs 11th hour desperation: appearing alongside a crotch grabbing Ted Nugent https://t.co/AYEn7WB0Ve via @dailynewsbin",FALSE,0,NA,2016-11-07 07:50:58,FALSE,NA,"795533992829194240",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Outwest123",0,FALSE,FALSE,NA,NA,"Calgary Alberta Canada","en","http://pbs.twimg.com/profile_images/741750775261466624/wNHOW8Zv_normal.jpg"
"21","RT @guardian: End this misogynistic horror show. Put Hillary Clinton in the White House | Barbara Kingsolver https://t.co/ADnjaZVrPh",FALSE,0,NA,2016-11-07 07:50:58,FALSE,NA,"795533992455868416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","roger_kaplan",62,TRUE,FALSE,NA,NA,"Moscow, Florida, Singapore","en","http://pbs.twimg.com/profile_images/661617220645216256/ztWVixVt_normal.jpg"
"22","RT @GreatAmericaPAC: Doctors like us support Donald Trump. https://t.co/MztERBqc5T",FALSE,0,NA,2016-11-07 07:50:58,FALSE,NA,"795533991264731136",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","heynahom",1734,TRUE,FALSE,NA,NA,"#BlackLivesMatter","en","http://pbs.twimg.com/profile_images/790816376914976768/W1hjHAxD_normal.jpg"
"23","RT @bfraser747: Ì†ΩÌ≤•Ì†ΩÌ≤• #DNCLeak2 

""DNC prepared questions for the Wolf Blitzers' CNN interview of Donald Trump""
~ @wikileaks  
https://t.co/VA‚Ä¶",FALSE,0,NA,2016-11-07 07:50:58,FALSE,NA,"795533990249672704",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","alicemohr",271,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/3732603488/e5a0a609a7a159d6138c3e8290a6ccdb_normal.jpeg"
"24","Donald Trump responds to FBI letter: ""You can't review 650,000 new emails in 8 days."" https://t.co/n3LYkBKlN7 https://t.co/F2ad7fs141",FALSE,2,NA,2016-11-07 07:50:58,FALSE,NA,"795533990149189632",NA,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","ABC",1,FALSE,FALSE,NA,NA,"New York City / Worldwide","en","http://pbs.twimg.com/profile_images/658688193651277824/Kv_cNNub_normal.png"
"25","RT @HuffPostPol: Bill Maher loses it over Donald Trump https://t.co/rctpLEEE7m? https://t.co/RLZNgkHVqm",FALSE,0,NA,2016-11-07 07:50:58,FALSE,NA,"795533989444366336",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JulaineNickels",18,TRUE,FALSE,NA,NA,"Corvallis, OR","en","http://pbs.twimg.com/profile_images/782457030141325312/3E2AIk8-_normal.jpg"
