"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @AriBerman: Must-read by GOP Rep. Jim Sensenbrenner: Without full Voting Rights Act, there’s no such thing as an honest election https:/…",FALSE,0,NA,2016-11-03 16:09:10,FALSE,NA,"794209815392305152",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","murashfun",70,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/546728009726980096/O-ay9_uC_normal.jpeg"
"2","Religious freedom at stake in this election, but not in the way evangelicals think: (RNS) Presidential nominee…… https://t.co/16Ni8xXNM4",FALSE,0,NA,2016-11-03 16:09:09,TRUE,NA,"794209812770738176",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","MSLMAustin",0,FALSE,FALSE,NA,NA,"Austin, TX","en","http://pbs.twimg.com/profile_images/677740571297910784/YzR76n4A_normal.png"
"3","New Post: Miller Time: Election survival https://t.co/MhUpaYWs65",FALSE,0,NA,2016-11-03 16:09:08,FALSE,NA,"794209806315819008",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","PrepperTom",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/378800000511007153/58a854d94002e0b71c012c301e6b6887_normal.jpeg"
"4","""Early voters are so done with this election https://t.co/GFlm49sJyZ https://t.co/88AahPBlTj""https://t.co/NBpcsrY7LV",FALSE,0,NA,2016-11-03 16:09:08,FALSE,NA,"794209806265544704",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","market4justice",0,FALSE,FALSE,NA,NA,"Toronto, Ontario","en","http://pbs.twimg.com/profile_images/615577051399983104/1B-CM5fS_normal.jpg"
"5","american president election 2016

https://t.co/9yOkEYa3mX",FALSE,0,NA,2016-11-03 16:09:08,FALSE,NA,"794209806034706432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","juliavines420",0,FALSE,FALSE,NA,NA,"","en-gb","http://pbs.twimg.com/profile_images/790637602156130305/-YqYhjT-_normal.jpg"
"6","RT @Osman_Marwa1: An indictment is ""likely"" for #HillaryClinton  in the ""pay-for-play"" scandal surrounding the #ClintonFoundation  
������
https…",FALSE,0,NA,2016-11-03 16:09:07,FALSE,NA,"794209804784836608",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lenoranail_73",7,TRUE,FALSE,NA,NA,"","en","http://abs.twimg.com/sticky/default_profile_images/default_profile_6_normal.png"
"7","Donald Trump Already Knows He's Going to Lose: 'Think of the Bunker Right Before Hitler Killed Himself' @alternet https://t.co/KKgyN8zCD6",FALSE,0,NA,2016-11-03 16:09:07,FALSE,NA,"794209802574589952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hanksinatra712",0,FALSE,FALSE,NA,NA,"Fairdale, Kentucky","en","http://pbs.twimg.com/profile_images/724639670169006081/GLJepIkc_normal.jpg"
"8","RT @RealJamesWoods: Who is winning the presidential election 2016 - Washington Post https://t.co/EWYkyJ4k2m",FALSE,0,NA,2016-11-03 16:09:07,FALSE,NA,"794209801882451968",NA,"<a href=""http://swtor-gr.blogspot.gr/"" rel=""nofollow"">to_Prwto_tou_Reborn</a>","SwtorGr",51,TRUE,FALSE,NA,NA,"Ελλάς","el","http://pbs.twimg.com/profile_images/763114528674574340/pTukshc9_normal.jpg"
"9","What was Melania Trump like in Slovenia? https://t.co/6I5oeZsgXl",FALSE,0,NA,2016-11-03 16:09:06,FALSE,NA,"794209801018474496",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Decacaz",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/490624667565043712/OG0V2TZZ_normal.jpeg"
"10","What was Melania Trump like in Slovenia? https://t.co/G7K5OzlmLS",FALSE,0,NA,2016-11-03 16:09:04,FALSE,NA,"794209791409356800",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","NewsdeskWORLD",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/3066161134/30c4bf746324a7df9f30b1ffd5a25119_normal.jpeg"
"11","RT @washingtonpost: The workers who have the most at stake in this election aren’t white men
https://t.co/bD8RLDKkmF",FALSE,0,NA,2016-11-03 16:09:04,FALSE,NA,"794209790486609920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","uresa54",80,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/790620832905039872/gKguf_UV_normal.jpg"
"12","RT @Bros4Hillary: Yessss! @POTUS and @FLOTUS to join Hillary and Bill this Monday in Philadelphia! #ImWithHer #StrongerTogether https://t.c…",FALSE,0,NA,2016-11-03 16:09:03,FALSE,NA,"794209786468265984",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","duke_robinson",7,TRUE,FALSE,NA,NA,"Austin","en","http://pbs.twimg.com/profile_images/788752030663716865/dKeweTdR_normal.jpg"
"13","RT @Rindie62: If you think your vote doesn't matter, remember PBO won NC by 3 votes per precinct in '08 - 49.70% to 49.38%.
#Vote
https://t…",FALSE,0,NA,2016-11-03 16:09:02,FALSE,NA,"794209783913906176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chirprn",3,TRUE,FALSE,NA,NA,"Wisconsin, USA","en","http://pbs.twimg.com/profile_images/791908053532577792/p4coxdV6_normal.jpg"
"14","RT @Transit4Indy: Indiana's BMVs will extend hours to issue IDs to voters. Remember: these state-IDs are free + bring documentation. https:…",FALSE,0,NA,2016-11-03 16:09:02,FALSE,NA,"794209781397405696",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","karissahulse",1,TRUE,FALSE,NA,NA,"Indianapolis, Indiana","en","http://pbs.twimg.com/profile_images/655063187927072768/sn9iusZE_normal.jpg"
"15","RT @politico: A new study suggests an army of hidden Trump supporters is unlikely to materialize on Election Day https://t.co/xVTRzjmgNE |…",FALSE,0,NA,2016-11-03 16:09:01,FALSE,NA,"794209777786228736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThatPHCBoy",95,TRUE,FALSE,NA,NA," Nigeria","en","http://pbs.twimg.com/profile_images/779620298027102208/QpqTd9tK_normal.jpg"
"16","RT @DuffelBlog: BREAKING: DARPA to reanimate Eisenhower's corpse in time for presidential election https://t.co/wiVwFNSSH9 https://t.co/4ag…",FALSE,0,NA,2016-11-03 16:09:01,FALSE,NA,"794209776586657794",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DocBohn",18,TRUE,FALSE,NA,NA,"Lincoln, NE","en","http://pbs.twimg.com/profile_images/378800000258074864/c0b0cc7ce0affbf5d9c539919e0857e8_normal.jpeg"
"17","Potential for Voter Intimidation Attempts Looms as Election Draws Nearer https://t.co/sDoVPBoKml via @npquarterly",FALSE,0,NA,2016-11-03 16:09:00,FALSE,NA,"794209773726011392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","alehman",0,FALSE,FALSE,NA,NA,"Portland, OR","en","http://pbs.twimg.com/profile_images/689613398129016832/Z4QtXo_I_normal.jpg"
