"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","RT @brian_mcgill: 58 people or organizations gave $1 million or more this election cycle. See them all here: https://t.co/8zzmag13Hn https:…",FALSE,0,NA,2016-11-03 00:47:53,FALSE,NA,"793977966208450560",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","aliakcay",16,TRUE,FALSE,NA,NA,"EU","en","http://pbs.twimg.com/profile_images/769258509552775168/Gaa62rYp_normal.jpg"
"2","RT @WDFx2EU7: NY School Cancels Mock Election Because Kids Shouted ‘Trump! Trump! Trump!’

Read more:  https://t.co/fQS1cxIK8t",FALSE,0,NA,2016-11-03 00:47:52,FALSE,NA,"793977964836724736",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeplorablePeopl",75,TRUE,FALSE,NA,NA,"Knowhere","en","http://pbs.twimg.com/profile_images/788918311266332672/GtOJmZSB_normal.jpg"
"3","RT @angeladallman: Critics Say North Carolina Is Curbing Black Vote. Again. https://t.co/4w3P1wOdcf",FALSE,0,NA,2016-11-03 00:47:52,FALSE,NA,"793977964308336640",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","afterthebridge",3,TRUE,FALSE,NA,NA,"pittsburgh","en","http://pbs.twimg.com/profile_images/90443567/methoughtful_normal.JPG"
"4","RT @owillis: ""critics say""
try
""facts say""
https://t.co/hiZxUaqjwg",FALSE,0,NA,2016-11-03 00:47:52,FALSE,NA,"793977962018328576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LondonAftrMidn",34,TRUE,FALSE,NA,NA,"Instagram LondonAftrMidn2 ","en","http://pbs.twimg.com/profile_images/697108080392331264/6JQpc8Ht_normal.jpg"
"5","RT @KFILE: Critics Say North Carolina Is Curbing Black Vote. Again. https://t.co/52BoEyOKsB",FALSE,0,NA,2016-11-03 00:47:50,FALSE,NA,"793977956418760705",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","wafflejuice",122,TRUE,FALSE,NA,NA,"Houston, Texas","en","http://pbs.twimg.com/profile_images/55956413/A1NAMTQzMj67109_l_normal.jpg"
"6","RT @PrisonPlanet: I predicted there would be racist incidents like this in the days before the election that will be blamed on Trump. https…",FALSE,0,NA,2016-11-03 00:47:50,FALSE,NA,"793977956141961216",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","justwinbaby7",816,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/775090581231906816/G0d-wL9T_normal.jpg"
"7","RT @StatDevices: FINAL WEEK TO VOTE. STAT INDEPENDENT 2016 Presidential ELECTION. 

#MAGA #PodestaEmails25 #Hillary #Trump #Election2016",FALSE,0,NA,2016-11-03 00:47:50,FALSE,NA,"793977953747173376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","socominky",53,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/452172667655684096/dkgsIjPT_normal.jpeg"
"8","@ChristianMcBane @CNN they were just like HRC both lacked evidence. Emails Russia negate https://t.co/72gHyRsOl4",FALSE,0,"ChristianMcBane",2016-11-03 00:47:46,FALSE,"793977350434291712","793977939402641409","438365593","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spaizzo",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/502454442151931904/Xbb8kZnB_normal.jpeg"
"9","FiveThirtyEight's Senate now-cast gives @TheDemocrats a 70% chance of winning control of the Senate @UnitedBlue
https://t.co/dmeqHk132C",FALSE,0,NA,2016-11-03 00:47:46,FALSE,NA,"793977939385876480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","chickilopiccolo",0,FALSE,FALSE,NA,NA,"Earth","en","http://pbs.twimg.com/profile_images/2229937169/MP900448630_normal.JPG"
"10","RT @voxdotcom: Mississippi black church burned, vandalized with ""Vote Trump"" just days before election https://t.co/T4cozrzqtK",FALSE,0,NA,2016-11-03 00:47:45,FALSE,NA,"793977935539490817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","chaundree",597,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/699825979594842112/3l1iNPft_normal.jpg"
"11","Find your voting info with @gov - The U.S. Election is November 8, and @gov can help you find the information y... https://t.co/8031rv9ISe",FALSE,0,NA,2016-11-03 00:47:44,FALSE,NA,"793977927738257408",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","B2CMarketingco",0,FALSE,FALSE,NA,NA,"Whistler, British Columbia","en","http://pbs.twimg.com/profile_images/717122363976888321/xuYmulpg_normal.jpg"
"12","This election is not about Trump. It’s never been about Trump. Anyone running on his platform of putting Americans… https://t.co/C9jwA85Um2",FALSE,0,NA,2016-11-03 00:47:43,FALSE,NA,"793977926861680640",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","jobbers7",0,FALSE,FALSE,NA,NA,"Cascadia Subduction Zone","en","http://pbs.twimg.com/profile_images/676113932885463040/Cs5PRzTM_normal.jpg"
"13","RT @SteveStuWill: ""women want their freedoms, but it is not clear they want to be just like men"" @CHSommers https://t.co/PCkyCboMSl https:/…",FALSE,0,NA,2016-11-03 00:47:42,FALSE,NA,"793977922197458944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TravisSeirer",28,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/2505201057/image_normal.jpg"
"14","RT @WDFx2EU7: NY School Cancels Mock Election Because Kids Shouted ‘Trump! Trump! Trump!’

Read more:  https://t.co/fQS1cxIK8t",FALSE,0,NA,2016-11-03 00:47:42,FALSE,NA,"793977921299890177",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kybassmaster123",75,TRUE,FALSE,NA,NA,"BLUEGRASS STATE","en","http://pbs.twimg.com/profile_images/692901991010455552/HH1PsVi1_normal.jpg"
"15","RT @Variety: Jon Stewart rips Donald Trump, calls 2016 the ""last American election"" https://t.co/NurLh0LW1F https://t.co/2lLHkNDueg",FALSE,0,NA,2016-11-03 00:47:42,FALSE,NA,"793977920427540480",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","SheldonLynette",11,TRUE,FALSE,NA,NA,"New York","en","http://pbs.twimg.com/profile_images/434575302396612608/wlCCS6kj_normal.jpeg"
"16","Election-Year Tension Inside FBI Arose Over Handling of Clinton Email Investigation https://t.co/c3BYCNbkpz via @ktla",FALSE,0,NA,2016-11-03 00:47:39,FALSE,NA,"793977907869675520",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Bentleyribs",0,FALSE,FALSE,NA,NA,"Everywhere","en","http://pbs.twimg.com/profile_images/690841330428153856/VPIom8Sf_normal.png"
"17","RT @SteveStuWill: ""do I think there are worthy causes that feminists can pursue? Of course"" @CHSommers https://t.co/PCkyCboMSl https://t.co…",FALSE,0,NA,2016-11-03 00:47:39,FALSE,NA,"793977906976333824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kaelanotto",6,TRUE,FALSE,NA,NA,"Rancho Palos Verdes, CA","en","http://pbs.twimg.com/profile_images/754487825186299905/0aAustMw_normal.jpg"
"18","RT @ForeignAffairs: Venezuela's current troubles are the result of a long process that began with Hugo Chávez's election in 1999. https://t…",FALSE,0,NA,2016-11-03 00:47:38,FALSE,NA,"793977906129092609",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rasbe",21,TRUE,FALSE,NA,NA,"Bogota","es","http://pbs.twimg.com/profile_images/637014517201940480/de9iyRED_normal.jpg"
"19","RT @foxandfriends: Speaker Ryan bracing for GOP attacks after the election https://t.co/pltCGRR4ZX https://t.co/fmKvDU8B3k",FALSE,0,NA,2016-11-03 00:47:36,FALSE,NA,"793977895567970304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dallas_413",10,TRUE,FALSE,NA,NA,"Gunshine state tm ","en","http://pbs.twimg.com/profile_images/542179588420689922/hWEWINAs_normal.jpeg"
"20","Donald Trump has turned the US election into a circus sideshow. You would not think he could possibly be electable. https://t.co/4SQ3LaURAm",FALSE,0,NA,2016-11-03 00:47:36,FALSE,NA,"793977895504977920",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","yelgeb",0,FALSE,FALSE,NA,NA,"Melbourne, Australia ","en","http://pbs.twimg.com/profile_images/764342946267222017/Q-hr6DqE_normal.jpg"
"21","RT @RawStory: Reminder: Donald Trump due in court after Election Day on child rape and racketeering charges https://t.co/wyp2tCjxpN https:/…",FALSE,0,NA,2016-11-03 00:47:35,FALSE,NA,"793977893420494848",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dishgarden",1565,TRUE,FALSE,NA,NA,"peninsula of Jersey","en","http://pbs.twimg.com/profile_images/1163516196/006_3A_normal.JPG"
"22","RT @CBSNews: Thirty-three millennials from 12 states discuss the issues that matter most to them in the 2016 election: https://t.co/NTIogZD…",FALSE,0,NA,2016-11-03 00:47:35,FALSE,NA,"793977889947549696",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AleeaPerry",7,TRUE,FALSE,NA,NA,"Pennsylvania, USA","en","http://pbs.twimg.com/profile_images/787478502278701056/2M77lrGX_normal.jpg"
"23","I've just posted on my Blog about: Common On New Album, Presidential Election and Being Cool With His Exes https://t.co/yIugRqqDNC",FALSE,0,NA,2016-11-03 00:47:34,FALSE,NA,"793977887976202240",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Lettaz",0,FALSE,FALSE,NA,NA,"The Globe","en","http://pbs.twimg.com/profile_images/2364128120/pdbxzk5zy8h24sn1utc2_normal.jpeg"
"24","RT @nycsouthpaw: Read all about it. https://t.co/1ukX1uP5P4",FALSE,0,NA,2016-11-03 00:47:34,FALSE,NA,"793977885782634497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wall_jumper",39,TRUE,FALSE,NA,NA,"Over The Wall... Puto ","en","http://pbs.twimg.com/profile_images/791760102281900038/mGJURoKH_normal.jpg"
"25","RT @Hope012015: Here's the new battleground election map; it's bad news for Trump https://t.co/9zSuJUf6oE",FALSE,0,NA,2016-11-03 00:47:33,FALSE,NA,"793977885409284101",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aygorgeous__",24,TRUE,FALSE,NA,NA,"Located in Paradise","en","http://pbs.twimg.com/profile_images/765246528730595329/XmqMdRO6_normal.jpg"
"26","RT @foxandfriends: Speaker Ryan bracing for GOP attacks after the election https://t.co/pltCGRR4ZX https://t.co/fmKvDU8B3k",FALSE,0,NA,2016-11-03 00:47:31,FALSE,NA,"793977876802453504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lifelessons428",10,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/787074066209345536/ZOuciav-_normal.jpg"
"27","RT @GQMagazine: See the 100 funniest tweets of the 2016 election https://t.co/0qbonnNmhH",FALSE,0,NA,2016-11-03 00:47:31,FALSE,NA,"793977875082813441",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","afcervantes23",55,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/766100191544041477/YA5CgqN8_normal.jpg"
"28","RT @angeladallman: Critics Say North Carolina Is Curbing Black Vote. Again. https://t.co/4w3P1wOdcf",FALSE,0,NA,2016-11-03 00:47:30,FALSE,NA,"793977871878361089",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LeslieMarshall",3,TRUE,FALSE,NA,NA,"Los Angeles","en","http://pbs.twimg.com/profile_images/413101984565047296/vOIwYEbv_normal.jpeg"
"29","NY School Cancels Mock Election Because Kids Shouted ‘Trump! Trump! Trump!’ https://t.co/1RZu30Ui4N",FALSE,0,NA,2016-11-03 00:47:30,FALSE,NA,"793977871001944064",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","russosimon",0,FALSE,FALSE,NA,NA,"John 12:32   Heaven","en","http://pbs.twimg.com/profile_images/1395771835/HOLY_SPIRIT__3__normal.jpg"
"30","RT @jnplis: A desperate, distasteful, very cynical, and very obvious false flag attack. The psyops campaign is in full swing.

https://t.co…",FALSE,0,NA,2016-11-03 00:47:30,FALSE,NA,"793977870934769664",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","rebeccajoc",80,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/671688515764232192/_y6rAXTX_normal.jpg"
"31","RT @KFILE: Critics Say North Carolina Is Curbing Black Vote. Again. https://t.co/52BoEyOKsB",FALSE,0,NA,2016-11-03 00:47:29,FALSE,NA,"793977866551631873",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","mf1urice",122,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/772194266483261440/rm00lXQv_normal.jpg"
"32","RT @brian_mcgill: 58 people or organizations gave $1 million or more this election cycle. See them all here: https://t.co/8zzmag13Hn https:…",FALSE,0,NA,2016-11-03 00:47:29,FALSE,NA,"793977865293463553",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","browyolks",16,TRUE,FALSE,NA,NA,"Brooklyn","en","http://pbs.twimg.com/profile_images/527181867590492161/TIkcvsUD_normal.jpeg"
"33","WATCH //Jon Stewart rips Trump for past anti-Semitic attacks against him  - U.S. Election 2016 https://t.co/SVqyzYAKq5",FALSE,0,NA,2016-11-03 00:47:27,FALSE,NA,"793977860302237696",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Put your button on any page! </a>","dierdrelewis",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/526618256375689216/0BMLlFNS_normal.png"
"34","RT @DrTomMartinPhD: Trump University ""*STAFF*"" Describe Donald Trump's 'Fraudulent Scheme' Harming Poor &amp; Elderly. https://t.co/VAX605YDqF…",FALSE,0,NA,2016-11-03 00:47:27,FALSE,NA,"793977859622703104",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","fred_burton15",13,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/742337936058765314/jjsWKMrV_normal.jpg"
"35","RT @mateagold: Trump to spend election night at Hilton Midtown hotel in Manhattan, @WaPoSean scoops: https://t.co/f4kAO7b5D4",FALSE,0,NA,2016-11-03 00:47:27,FALSE,NA,"793977859119390720",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JewishPolitico",6,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/761215514261745668/0Hq3azmy_normal.jpg"
"36","RT @caitlynputt_: What have I been up to? I've been pretty fixated on the U.S. Election. I even wrote a blog post! #KAOSMedia https://t.co/…",FALSE,0,NA,2016-11-03 00:47:26,FALSE,NA,"793977853251502081",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","IMTHEMISSJ",1,TRUE,FALSE,NA,NA,"Victoria, Australia","en","http://pbs.twimg.com/profile_images/788331512345133056/88GuJnz2_normal.jpg"
"37","FastCompany: RT chrissyfarr: Where the 2016 presidential candidates stand on health care https://t.co/LH0ycNUq5N (I queried the experts)",FALSE,0,NA,2016-11-03 00:47:25,FALSE,NA,"793977850290442240",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","ToniWilliams94",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/733743993553584129/so_nSmLQ_normal.jpg"
"38","RT @peterboghossian: The brilliant @CHSommers 
Interview with Vox. Fainting-couch feminism, Mr. Trump’s amoral masculinity, &amp; more.... http…",FALSE,0,NA,2016-11-03 00:47:24,FALSE,NA,"793977844330360832",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ConOnCampus",58,TRUE,FALSE,NA,NA,"liberal nursery, AKA college","en","http://pbs.twimg.com/profile_images/696438383707561984/6c4xmA_z_normal.jpg"
